Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Integrate SMTP service to send links via email,SCRUM-45,10044,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:27 PM,10/Oct/24 9:27 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10039,Reset Password,To Do,10/Oct/24 9:27 PM
Integrate Reset password API from keycloak into login,SCRUM-44,10043,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:27 PM,10/Oct/24 9:27 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10039,Reset Password,To Do,10/Oct/24 9:27 PM
Create UI to show progress of uploaded documents,SCRUM-43,10042,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:27 PM,10/Oct/24 9:27 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10032,Bulk Resume Upload (Recruiter),To Do,10/Oct/24 9:27 PM
Create database entries according to uploaded documents,SCRUM-42,10041,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:26 PM,10/Oct/24 9:26 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10032,Bulk Resume Upload (Recruiter),To Do,10/Oct/24 9:26 PM
Create APIs to accept bulk file contents,SCRUM-41,10040,Subtask,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:26 PM,15/Oct/24 3:14 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10032,Bulk Resume Upload (Recruiter),In Progress,15/Oct/24 3:14 PM
Reset Password,SCRUM-40,10039,Story,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:23 PM,15/Oct/24 3:11 PM,17/Oct/24 8:47 PM,,,0,,"As a user, I want to reset my password if I forget it, so that I can regain access to my account.

*Acceptance Test 1: Password Reset Request*

* *Given* a user is on the login page and clicks the ""Forgot Password"" link,
* *When* the user provides their registered email and submits the form,
* *Then* the system should send a password reset link to the provided email address and display a confirmation message.

*Acceptance Test 2: Password Reset Confirmation*

* *Given* the user has received the password reset email and clicked the reset link,
* *When* the user is redirected to the password reset form and enters a new password,
* *Then* the system should validate the password, update it successfully, and display a confirmation message that the password has been reset.

!image-20241011-013329.png|width=922,height=1085,alt=""image-20241011-013329.png""!",,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,10/Oct/24 9:33 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-013329.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10008,,,,,,,,,,,,,,,,,0|i000d2:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,,,To Do,15/Oct/24 3:11 PM
"Task 2: As a frontend developer, I want to create a search interface with filters using React and Material UI, so that users can easily search for jobs.",SCRUM-39,10038,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:22 PM,10/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,,,,,,,10005,Search for Job Opportunities  ,To Do,10/Oct/24 9:22 PM
"Task 1: As a developer, I want to implement job search functionality using Fastify and Prisma. ",SCRUM-38,10037,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:22 PM,10/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,,,,,,,,10005,Search for Job Opportunities  ,To Do,10/Oct/24 9:22 PM
"Task 2: As a frontend developer, I want to design the resume upload form using React and Material UI, so that users can submit their resumes conveniently.",SCRUM-37,10036,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:22 PM,10/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,,,,,,,10004,Upload Resume ,To Do,10/Oct/24 9:22 PM
"Task 1: As a developer, I want to create an API endpoint for resume uploads using Fastify, so that users can upload their resumes.",SCRUM-36,10035,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:22 PM,10/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,,,,,,,10004,Upload Resume ,To Do,10/Oct/24 9:22 PM
"Task 2: As a developer, I want to fetch user specific data from the backend using Prisma, so that the dashboard displays relevant information.",SCRUM-35,10034,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:21 PM,10/Oct/24 9:21 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,,,,,,,10003,Dashboard Overview Layout ,To Do,10/Oct/24 9:21 PM
"Task 1: As a frontend developer, I want to design the dashboard layout using React and Material UI, so that the user interface is user friendly.",SCRUM-34,10033,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,amrreddy,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,10/Oct/24 9:21 PM,10/Oct/24 9:21 PM,17/Oct/24 8:47 PM,,,0,,,,amrreddy,,712020:7b2e8c0f-c75e-4452-8954-649f9f9e4e78,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,,,,,10003,Dashboard Overview Layout ,To Do,10/Oct/24 9:21 PM
Bulk Resume Upload (Recruiter),SCRUM-33,10032,Story,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 9:16 PM,15/Oct/24 3:10 PM,17/Oct/24 8:47 PM,,,0,,"As a recruiter, I want to be able to upload multiple resumes to the system so that I can efficiently analyze and shortlist candidates.



*Acceptance Test 1: Backend Bulk Resume Upload*

* *Given* the Fastify backend service is running,
* *When* a recruiter uploads multiple resumes in a single request,
* *Then* the backend should successfully process the files, store them securely, and return a confirmation response indicating the success of the upload.

*Acceptance Test 2: Frontend Bulk Resume Upload Interface*

* *Given* the bulk resume upload interface is displayed,
* *When* a recruiter selects or drags and drops multiple resumes and clicks the upload button,
* *Then* the system should display a progress bar, and after upload completion, show a success or failure message for each file uploaded.



!image-20241011-013227.png|width=1091,height=917,alt=""image-20241011-013227.png""!",,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,10/Oct/24 9:32 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-013227.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10007,,,,,,,,,,,,,,,,,0|i000cz:,,,SCRUM Sprint 1,,,5.0,,,,,,,,,,,,,,In Progress,15/Oct/24 3:10 PM
"As a frontend developer, I want to create an ""Apply"" button on job listing pages using React and Material UI, so that users can easily apply to jobs.",SCRUM-32,10031,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:03 PM,10/Oct/24 9:03 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,,,,,10008,Apply to Job Listings ,To Do,10/Oct/24 9:03 PM
"As a developer, I want to implement an API that allows users to apply to job listings using Fastify.",SCRUM-31,10030,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:03 PM,10/Oct/24 9:03 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,,,,10008,Apply to Job Listings ,To Do,10/Oct/24 9:03 PM
"As a frontend developer, I want to design the login page using React and Material UI, so that users can log in easily.",SCRUM-30,10029,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:03 PM,10/Oct/24 9:03 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,,,,10007,User Authentication and Login,To Do,10/Oct/24 9:03 PM
"As a developer, I want to set up user authentication with Keycloak and OAuth 2.0, so that secure login is enabled.",SCRUM-29,10028,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:03 PM,10/Oct/24 9:03 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,,,,10007,User Authentication and Login,To Do,10/Oct/24 9:03 PM
"As a frontend developer, I want to design and integrate the user registration form using React and Material UI, so that the user can input their information easily.",SCRUM-28,10027,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:03 PM,10/Oct/24 9:03 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,,,,10006,User Account Creation ,To Do,10/Oct/24 9:03 PM
"As a developer, I want to implement an API endpoint for user creation using Fastify, so that users can register to the system.",SCRUM-27,10026,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,Jaindra Parvathaneni,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,10/Oct/24 9:02 PM,10/Oct/24 9:02 PM,17/Oct/24 8:47 PM,,,0,,,,Jaindra Parvathaneni,,712020:f96baa6b-c9a0-4748-a4f1-cfc870253d55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,,,,10006,User Account Creation ,To Do,10/Oct/24 9:02 PM
Frontend Payment Form  ,SCRUM-26,10025,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:23 PM,10/Oct/24 8:23 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,,,,10002,Make a Payment  ,To Do,10/Oct/24 8:23 PM
API for Payment  ,SCRUM-25,10024,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:23 PM,10/Oct/24 8:23 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,,,10002,Make a Payment  ,To Do,10/Oct/24 8:23 PM
Frontend Unsubscription Interface  ,SCRUM-24,10023,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:23 PM,10/Oct/24 8:23 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,,,10001,Unsubscribe from a Plan ,To Do,10/Oct/24 8:23 PM
API for Unsubscription  ,SCRUM-23,10022,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:23 PM,10/Oct/24 8:23 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,,,,10001,Unsubscribe from a Plan ,To Do,10/Oct/24 8:23 PM
Frontend Subscription Management ,SCRUM-22,10021,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:22 PM,10/Oct/24 8:22 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,,,,10000,Subscribe to a Plan ,To Do,10/Oct/24 8:22 PM
 API for Subscription,SCRUM-21,10020,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,10/Oct/24 8:22 PM,10/Oct/24 8:22 PM,17/Oct/24 8:47 PM,,,0,,,,Hemant Krishnakumar,,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,,,10000,Subscribe to a Plan ,To Do,10/Oct/24 8:22 PM
Create Backend API to get shortlist,SCRUM-20,10019,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:28 PM,09/Oct/24 9:28 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,1.0,,,,,,,,,,,,10011,Shortlist Resumes for Job Listings,To Do,09/Oct/24 9:28 PM
Create Frontend UI table to view shortlist,SCRUM-19,10018,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:28 PM,09/Oct/24 9:28 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,1.0,,,,,,,,,,,,10011,Shortlist Resumes for Job Listings,To Do,09/Oct/24 9:28 PM
Create Frontend UI icon to add a resume to shortlist,SCRUM-18,10017,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:28 PM,09/Oct/24 9:28 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,1.0,,,,,,,,,,,,10011,Shortlist Resumes for Job Listings,To Do,09/Oct/24 9:28 PM
Create Backend API to create resume shortlist for a recruiter,SCRUM-17,10016,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:27 PM,09/Oct/24 9:28 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,1.0,,,,,,,,,,,,10011,Shortlist Resumes for Job Listings,To Do,09/Oct/24 9:27 PM
Create Frontend UI to show and update user profile,SCRUM-16,10015,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:24 PM,09/Oct/24 9:24 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,2.0,,,,,,,,,,,,10010,Profile Management,To Do,09/Oct/24 9:24 PM
Create Backend API to update user profile,SCRUM-15,10014,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:24 PM,09/Oct/24 9:24 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,2.0,,,,,,,,,,,,10010,Profile Management,To Do,09/Oct/24 9:24 PM
Create Frontend UI to show resume analysis,SCRUM-14,10013,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:22 PM,09/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,2.0,,,,,,,,,,,,10009,View Resume Analysis Results,To Do,09/Oct/24 9:22 PM
Implement Backend to analyze resumes against job description,SCRUM-13,10012,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,09/Oct/24 9:12 PM,09/Oct/24 9:22 PM,17/Oct/24 8:47 PM,,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,2.0,,,,,,,,,,,,10009,View Resume Analysis Results,To Do,09/Oct/24 9:12 PM
